,Name,long,lat
82,PEACE BAPTIST CHURCH,-76.97800667110023,38.89828078381406
83,PEOPLES COMMUNITY CHURCH,-76.99127478953298,38.89871835261993
84,PILGRIM A M E OUTREACH CHURCH,-76.98029428409762,38.89739891288465
85,PILGRIM BAPTIST CHURCH,-76.99596029600794,38.901537414482654
86,NORTHEAST HOLY TRINITY CHURCH,-77.00027169493782,38.89934322770726
87,NEW ABUNDANT LIFE MISSIONARY,-76.98338641898805,38.894257725460704
88,MT OLIVE BAPTIST CHURCH,-76.99873685836083,38.90511784810691
89,LINCOLN PARK UNITED MTHDST CHR,-76.9880035143693,38.890359917501804
90,LIVING WATER WORSHIP CTR,-76.99199056348867,38.894599869159705
91,GRACE FELLOWSHIP BAPTIST MSN,-77.00107774992327,38.91530133202018
92,HWY CHRISTIAN CHURCH,-76.98340615619789,38.89563465740024
93,JESUS WAY TEMPLE,-76.97876941562096,38.90234883004592
94,GALATIANS BAPTIST CHURCH,-76.99449845258765,38.897528273807396
95,LANE MEMORIAL CME,-76.98517205022219,38.89342631299196
96,UNITED CHURCH,-77.04469073757274,38.89812818887006
97,NEW YORK AVENUE PRESBYTERIAN,-77.03121555704386,38.8999835151817
98,METRO POLITAN AFRICAN MTHDST,-77.0354602493185,38.905340294180725
99,LUTHER PLACE MEMORIAL CHURCH,-77.03160621919498,38.9069442562995
100,CHURCH OF THE EPIPHANY,-77.03047223235365,38.898665157518906
101,GRACE COVENANT CHURCH,-77.03393851820272,38.902895068067934
102,GRACE REFORMED CHURCH,-77.0342891246529,38.909171444258064
103,KOREA TRUTH COMMISSION,-77.03337529729494,38.89984085623957
104,EBENEZER UNITED METHODIST CHR,-77.00033560543717,38.88447193475368
105,CAPITOL HILL PRESBYTERIAN CHR,-77.00085291329678,38.8873977647341
106,HOLY NAME OF JESUS PARISH,-76.99177151555591,38.901847262289024
107,CHRIST CHURCH CAPITOL HILL,-76.99750603053049,38.88171372067207
108,CHRIST OUR SHEPHERD CHURCH,-76.9943869372463,38.88779724483418
109,WASHINGTON CITY CHURCH OF THE BRETHREN,-77.00094820480713,38.88515855044089
110,MADONNA HOUSE,-77.00271301647305,38.893761613003186
111,UNITED CHURCH OF CHRIST,-77.00561929813786,38.89143545751959
112,CAPITOL HILL UNITED MTHDST CHR,-76.99985014183147,38.88529259896445
113,CALVARY CHRISTIAN CHURCH,-76.99177439081305,38.87890662309836
114,SERVANTS OF THE LORD,-76.98347595585112,38.88891216907649
115,UPON THIS ROCK TABERNACLE,-76.99893134815967,38.905439358117874
116,CAPITAL CITY CHURCH,-76.99588173580487,38.880453400914035
117,TABLE CHURCH-H STREET PARISH,-76.99873543021513,38.901127507054234
118,WASHINGTON COMMUNITY FELLOWSHP,-76.99348670714284,38.895726368481036
119,ST MARTIN OF TOURS CATHOLIC CHURCH,-77.00933183083418,38.91593136748423
120,HOLY COMFORTER-ST CYPRIAN CHR,-76.98608437738642,38.88952183557255
121,THANKFUL BAPTIST CHURCH,-76.98529479113581,38.887385762140894
122,ST VINCENT DE PAUL PARISH,-77.00837420022972,38.87665937790368
123,VERDADERA FE BAPTIST CHURCH,-77.00083314923812,38.922141088441116
124,HOLY TEMPLE CHURCH OF CHRIST,-76.9904898386072,38.8832266793658
125,LIBERTY BAPTIST CHURCH,-76.98427957880128,38.8821013114579
126,GREATER PEOPLE UNION BAPTIST,-76.9909157155051,38.88495731422741
127,LUTHERAN CHURCH OF REFORMATION,-77.00285995729772,38.89012024487677
128,MT MORIAH BAPTIST CHURCH,-76.98104114394701,38.8901171201755
129,HOUSE OF GOD,-76.98776438065183,38.89010324406927
130,NEW HOPE FREEWILL BAPTIST CHR,-76.9911784335378,38.879924167683576
131,HARDWOOD REVIVAL,-77.04694783471446,38.896453729347925
132,ST JOHN'S EPISCOPAL CHURCH,-77.03599791420842,38.90044327733749
133,ST LUKES EPISCOPAL CHURCH,-77.03492619944409,38.91023586177749
134,ST PAULS,-77.02915135610438,38.90289564006667
135,NATIONAL CITY CHRISTIAN CHURCH,-77.03260283131978,38.90647888131926
136,MT ZION PENTECOSTAL CHURCH,-77.02776712095972,38.907071168566304
137,AUGUSTANA LUTHERAN CHURCH,-77.03546430061795,38.91858931114075
138,DC SPANISH SEVENTH-DAY ADVENTIST,-77.03700348829665,38.92588400922077
139,SOUTHWEST CHURCH OF CHRIST,-77.03001265093937,38.92889653876637
140,SPANISH CATHOLIC CTR,-77.0373966244729,38.93273942614044
141,TRINITY AME ZION CHURCH,-77.03608272720558,38.93455834573698
142,TRUTHABOUTIT.NET,-77.03603920801885,38.9328883094964
143,OUR LADY QUEEN-THE AMERICAS,-77.04926996545284,38.91582334136509
144,HANDMAIDS-THE HOLY CHILD JESUS,-77.03481935905207,38.91787775686794
145,ST STEPHEN & INCARNATION CHR,-77.03575013249825,38.93348727045771
146,OBLATE SISTERS-THE MOST HOLY,-77.05936444256126,38.952938720608806
147,LIFE CHURCH,-77.03068466346679,38.9127996558079
148,WASHINGTON ETHIOPIAN SEVENTH,-77.06396550785695,38.95021102007177
149,ST PAUL'S LUTHERAN CHURCH,-77.07030958832685,38.95374834956889
150,FREEDOM BAPTIST CHURCH,-77.03560949036886,38.917227657656326
151,NATIONAL BAPTIST MEMORIAL CHR,-77.03605053451805,38.92700452738373
152,KELSEY TEMPLE CHR-GOD IN CHRST,-77.03375081736407,38.930883743378935
153,12TH STREET CHRISTIAN CHURCH,-77.02847287014916,38.9146761121204
154,ALL SOULS CHURCH UNITARIAN,-77.0359888086203,38.926037683720054
155,CANAAN BAPTIST CHURCH,-77.03693675782912,38.93313368578886
156,GOODWILL BAPTIST CHURCH,-77.04382833266389,38.919324435669566
157,TRUE GOSPEL BAPTIST CHURCH,-77.02745500681742,38.91901260696791
158,SEVENTH PILLAR,-77.04432006081029,38.92438656875791
159,ST JAMES APOSTLE CHURCH,-77.0342695470324,38.91473788434469
160,GREATER TRIED STONE BAPTIST,-77.03200493655144,38.934767445180775
161,FIFTEENTH ST PRESBYTERIAN CHR,-77.03418191737214,38.91281904384411
162,UNIVERSALIST NATIONAL MEML CHR,-77.03688148275575,38.914348289234674
163,ABBAS HOUSE CHR-GOD-PROPHECY,-77.03217187187971,38.93715865286207
164,ST MARGARET'S EPISCOPAL CHURCH,-77.04667772446713,38.91510022553142
165,LA RED CHURCH,-77.03244308872762,38.93092699328158
166,MT RONA MISSIONARY BAPTIST CHR,-77.02945515302682,38.932248762901864
167,GREATER FIRST BAPTIST CHURCH,-77.02926984305138,38.925022160265534
168,KING EMMANUEL BAPTIST CHURCH,-77.04025433686543,38.92079263772389
169,ONE LORD ONE SAFE CHURCH INC,-77.06639494172641,38.94810614205424
170,TABLE CHURCH-COHI PARISH,-77.03459269142532,38.927693023178044
